ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
19,E-Zim,Retail,2008,320,OH,Monroe,10746451,4762319,5984132,13
24,Quozap,Software,2004,21,NJ,Collingswood,8304480,7019973,1284507,20
28,Unadex,Software,2013,280,NC,Cary,5231275,2388521,2842754,19
65,Ranquote,Health,2013,400,GA,Alpharetta,7147363,4206340,2941023,6
68,Dongcom,Retail,2002,8,NY,Cheektowaga,14477085,2772159,11704926,10
89,Sumice,Retail,2013,318,UT,Sandy,8697300,5654472,3042828,19
91,Hatvollex,IT Services,2002,75,TX,FRISCO,12410581,5898202,6512379,21
94,Technodexon,Software,2006,327,UT,Provo,11554383,3538667,8015716,19
98,Kinlax,Financial Services,2002,100,AZ,Tucson,11380872,6212849,5168023,18
112,O-Touch,Health,2005,393,TX,Frisco,9521727,5669858,3851869,4
113,Flexlane,IT Services,2004,120,MI,Novi,12733374,4666917,8066457,23
123,Yearla,Software,2004,31,RI,Providence,9838442,5327158,4511284,13
132,Nimlux,Financial Services,2013,285,NY,New York,7753213,1117206,6636007,18
148,Trans-Dexon,Financial Services,2003,77,MA,Boston,11447285,1498325,9948960,16
149,Zimholding,IT Services,2002,7,OR,Portland,13905706,405045,13500661,21
151,Lexitrans,Health,2012,335,WA,Seattle,9152251,8653818,498433,6
160,Zathtechi,Software,2003,87,CA,San Jose,6187775,2286092,3901683,23
167,Keytouch,Construction,2013,400,CA,Vista,8597264,5649633,2947631,9
171,Zimtechno,Software,2006,326,MN,Minneapolis,13268611,6773400,6495211,24
175,Kayis,IT Services,2002,26,CA,Newport Beach,14264750,1232980,13031770,23
182,Zenzootrax,Financial Services,2010,289,IL,Chicago,9837545,2466042,7371503,17
197,J-Unafase,Software,2014,24,TX,Montgomery,1835717,71219,1764498,19
200,Lalane,Retail,2003,45,MN,Golden Valley,12461526,4934351,7527175,14
203,E-Tex,IT Services,2003,85,OH,Columbus,16295163,3974721,12320442,21
210,Reinforceputtock,Health,2002,88,NJ,Moorestown,5890468,4263512,1626956,6
211,Pursuitsskewer,IT Services,2001,16,VA,Ashburn,13731776,887658,12844118,23
232,Raisinscotta,IT Services,2003,48,SC,Irmo,15393471,6652796,8740675,22
241,Sounderfibber,IT Services,2011,372,MN,Minnetonka,14727740,6403759,8323981,21
266,Reliablepaver,IT Services,2011,91,CA,North Hollywood,21810051,3354029,18456022,21
268,Itemswazzed,IT Services,2004,13,MN,Edina,13893688,1417656,12476032,22
301,Gianttempting,IT Services,2001,6,GA,Woodstock,12713148,6486427,6226721,20
311,Sweater,Health,2014,403,OH,Westlake,9127416,5014081,4113335,5
331,Aspic,Retail,2001,130,NY,New York,10498414,4645617,5852797,17
334,Tocantins,Financial Services,2009,290,VA,Tysons Corner,14330107,2296074,12034033,15
347,Miscutting,Government Services,2002,73,CA,Oxnard,10115274,6731632,3383642,5
363,Fluetruffles,IT Services,2001,81,MN,Minneapolis,15848453,5506036,10342417,15
373,Dillimported,Health,2002,30,TX,Humble,9724730,9712296,12434,3
378,Prunewatchful,Health,2011,329,SC,Mauldin,8369263,3880428,4488835,5
385,Stupidarboreal,IT Services,2002,36,PA,Philadelphia,16435362,5130874,11304488,20
391,Solsticeaudio,Health,2011,360,AZ,Phoenix,10544309,6248732,4295577,5
393,Cribcaused,Financial Services,2004,201,GA,Marietta,9020223,3683236,5336987,15
395,Cajoleavoidant,IT Services,2003,17,TN,Nashville,15771339,1185898,14585441,20
397,Announcesbuck,Health,2013,370,FL,Deerfield Beach,6146640,4390260,1756380,7
426,Trapexperts,Financial Services,2011,330,PA,Allentown,8788469,1214119,7574350,10
435,Lucrepickled,IT Services,2004,45,VA,Glen Allen,12894933,3512395,9382538,17
445,Linkedallianz,Health,2011,332,OH,Columbus,6300572,5606412,694160,5
455,Blendplacid,Government Services,2014,326,AL,Huntsville,10581245,4680006,5901239,7
456,Infectedduck,IT Services,2000,278,IL,Springfield,15417062,4118312,11298750,20
461,Novelfollicle,Financial Services,2009,403,OK,Tulsa,11028550,2379097,8649453,13
467,Thalliumwould,IT Services,2014,278,NY,Clifton Park,10708327,8866642,1841685,21
468,Regexsay,Financial Services,2004,58,CA,San Diego,9642133,2995467,6646666,15
473,Rosychoke,IT Services,2011,348,IN,Indianapolis,14153970,3408135,10745835,26
480,Excellencerecent,Health,2010,381,TX,Farmers Branch,10611567,7617420,2994147,5
