ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
19,E-Zim,Retail,2008,320,OH,Monroe,10746451,4762319,5984132,13
28,Unadex,Software,2013,280,NC,Cary,5231275,2388521,2842754,19
65,Ranquote,Health,2013,400,GA,Alpharetta,7147363,4206340,2941023,6
89,Sumice,Retail,2013,318,UT,Sandy,8697300,5654472,3042828,19
94,Technodexon,Software,2006,327,UT,Provo,11554383,3538667,8015716,19
112,O-Touch,Health,2005,393,TX,Frisco,9521727,5669858,3851869,4
132,Nimlux,Financial Services,2013,285,NY,New York,7753213,1117206,6636007,18
151,Lexitrans,Health,2012,335,WA,Seattle,9152251,8653818,498433,6
167,Keytouch,Construction,2013,400,CA,Vista,8597264,5649633,2947631,9
171,Zimtechno,Software,2006,326,MN,Minneapolis,13268611,6773400,6495211,24
182,Zenzootrax,Financial Services,2010,289,IL,Chicago,9837545,2466042,7371503,17
197,J-Unafase,Software,2014,24,TX,Montgomery,1835717,71219,1764498,19
241,Sounderfibber,IT Services,2011,372,MN,Minnetonka,14727740,6403759,8323981,21
266,Reliablepaver,IT Services,2011,91,CA,North Hollywood,21810051,3354029,18456022,21
311,Sweater,Health,2014,403,OH,Westlake,9127416,5014081,4113335,5
334,Tocantins,Financial Services,2009,290,VA,Tysons Corner,14330107,2296074,12034033,15
378,Prunewatchful,Health,2011,329,SC,Mauldin,8369263,3880428,4488835,5
391,Solsticeaudio,Health,2011,360,AZ,Phoenix,10544309,6248732,4295577,5
397,Announcesbuck,Health,2013,370,FL,Deerfield Beach,6146640,4390260,1756380,7
426,Trapexperts,Financial Services,2011,330,PA,Allentown,8788469,1214119,7574350,10
445,Linkedallianz,Health,2011,332,OH,Columbus,6300572,5606412,694160,5
455,Blendplacid,Government Services,2014,326,AL,Huntsville,10581245,4680006,5901239,7
456,Infectedduck,IT Services,2000,278,IL,Springfield,15417062,4118312,11298750,20
461,Novelfollicle,Financial Services,2009,403,OK,Tulsa,11028550,2379097,8649453,13
467,Thalliumwould,IT Services,2014,278,NY,Clifton Park,10708327,8866642,1841685,21
473,Rosychoke,IT Services,2011,348,IN,Indianapolis,14153970,3408135,10745835,26
480,Excellencerecent,Health,2010,381,TX,Farmers Branch,10611567,7617420,2994147,5
