ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
1,Over-Hex,Software,0.4666666666666667,0.05970149253731343,TN,Franklin,0.3929447660182312,0.10822662766011673,0.46310907617324787,0.6666666666666666
2,Unimattax,IT Services,0.6666666666666666,0.08706467661691543,PA,Newtown Square,0.6098238869941797,0.07485759949954375,0.7156998952698358,0.696969696969697
3,Greenfax,Retail,0.8666666666666667,0.06716417910447761,SC,Greenville,0.3960359829769543,0.09940847647783072,0.4711373405218117,0.5757575757575758
4,Blacklane,IT Services,0.8,0.16169154228855723,CA,Orange,0.6770514601387961,0.46586693637151033,0.5809675969773344,0.6666666666666666
5,Yearflex,Software,0.9333333333333333,0.10945273631840796,WI,Madison,0.33704217622474925,0.4396176012442761,0.22667145893738247,0.6666666666666666
6,Indigoplanet,IT Services,0.9333333333333333,0.14676616915422885,NJ,Manalapan,0.5491915274872243,0.4653017370608635,0.4427957835536122,0.7575757575757576
7,Treslam,Financial Services,0.6666666666666666,0.2860696517412935,MO,Clayton,0.17781579100459619,0.2100997939928701,0.17605310853831696,0.6060606060606061
8,Rednimdox,Construction,0.9333333333333333,0.1791044776119403,NY,Woodside,0.36143092430516083,0.4539463690924133,0.24547897079461978,0.3939393939393939
9,Lamtone,IT Services,0.6666666666666666,0.13432835820895522,CA,San Ramon,0.49670246827754055,0.6549126729780079,0.2853088563895485,1
10,Stripfind,Financial Services,0.7333333333333333,0.05970149253731343,FL,Boca Raton,0.5253568904975755,0.0863413707814736,0.618127123637765,0.696969696969697
11,Canecorporation,Health,0.8666666666666667,0.012437810945273632,NY,New York,0.4386274906587624,0.7681695029974563,0.16229954822239578,0.30303030303030304
12,Mattouch,IT Services,0.9333333333333333,0.012437810945273632,WA,Bellevue,0.6103441045894196,0.7516403089156948,0.3570413197258581,0.8787878787878788
13,Techdrill,Health,0.6666666666666666,0.01990049751243781,MS,Flowood,0.4374750617467396,0.7522517824514858,0.16950026209650748,0.3333333333333333
14,Techline,IT Services,0.4666666666666667,0.15920398009950248,CA,San Ramon,0.6038950785543088,0.5515197099086191,0.4562768372401292,0.7878787878787878
17,Ganzlax,IT Services,0.8,0.18407960199004975,NJ,Iselin,0.6090547499606245,0.2072412113958809,0.644600497473702,0.6363636363636364
18,Trantraxlax,Government Services,0.8,0.0845771144278607,VA,Suffolk,0.46322540716501487,0.5683718020603165,0.2949873961617447,0.30303030303030304
19,E-Zim,Retail,0.6,0.7935323383084577,OH,Monroe,0.4461091919259986,0.4791987142915952,0.3237817934341192,0.48484848484848486
20,Daltfase,Software,0.8,0.19154228855721392,NC,Durham,0.4292964661550167,0.6256918788326269,0.22781819893179137,0.6060606060606061
21,Hotlane,Government Services,0.8666666666666667,0.21393034825870647,AL,Huntsville,0.3075253973424095,0.573611923917819,0.12358354567451843,0.15151515151515152
23,Lambam,IT Services,0.8666666666666667,0.5199004975124378,SC,Columbia,0.5063713763873179,0.43866463822800567,0.4105601361296945,0.696969696969697
24,Quozap,Software,0.3333333333333333,0.04975124378109453,NJ,Collingswood,0.3238537515193248,0.709819441650909,0.06897101583487986,0.696969696969697
25,Tampware,Construction,0.8,0.029850746268656716,TX,Houston,0.39802403424314425,0.29006042923480924,0.37209636216120207,0.42424242424242425
26,Dalthow,Health,0.06666666666666667,0.0472636815920398,GA,Dacula,0.4488260284423,0.7825350450642512,0.1657195985943733,0.30303030303030304
28,Unadex,Software,0.9333333333333333,0.6940298507462687,NC,Cary,0.169996055938586,0.23671380678845946,0.15345820997519571,0.6666666666666666
29,Groovecane,Construction,0.8,0.03980099502487562,UT,South Jordan,0.24909221003313553,0.35641613583252285,0.1755835686635377,0.5454545454545454
30,Tambase,Software,0.7333333333333333,0.06965174129353234,AZ,Scottsdale,0.36577439828531955,0.2372872802983043,0.36518100491075817,0.7272727272727273
31,Georedfase,IT Services,0.6,0.04477611940298507,VA,Vienna,0.5672031417918615,0.07547979884910996,0.6692115438709648,0.5757575757575758
32,Konktraxbam,Software,0.8,0.004975124378109453,WI,Franklin,0.4840743626295625,0.47104975173827135,0.3692232227265107,0.6666666666666666
33,Stanquote,IT Services,0.8,0.3283582089552239,IL,Des Plaines,0.6801459813378509,0.031012617949475695,0.815130439912234,0.8787878787878788
34,Lexiholding,Health,0.8,0.022388059701492536,CA,Newport Beach,0.23830987306009802,0.4950353272553041,0.09033020039267847,0.30303030303030304
35,Mediahex,IT Services,0.4,0.06965174129353234,TX,Houston,0.6476738098001165,0.36921530048571594,0.6004523631735864,0.6666666666666666
36,Triojob,Financial Services,0.8,0.07960199004975124,TX,Dallas,0.37888201929536175,0.015566016004752863,0.4970614719869041,0.6363636363636364
37,D-Zoocare,Financial Services,0.7333333333333333,0.24129353233830847,WA,Seattle,0.3663562950334164,0.2425735742303437,0.3630053436457158,0.48484848484848486
38,Zun-Trax,Retail,0.9333333333333333,0.05472636815920398,SC,Columbia,0.395330978244381,0.44603408949639445,0.28639226814218577,0.45454545454545453
